Suburb,Tree Coverage
Park Orchards,63.2
Warrandyte,61.7
The Basin,58.8
Wonga Park,58.2
Lysterfield,50.6
Warranwood,50.5
Upper Ferntree Gully,46.3
Warrandyte South,45.9
Donvale,45.9
Croydon North,44.3
Fitzroy,31.4
Collingwood,30.8
Essendon North,30.6
Keilor Lodge,30
Southbank,29.9
Clifton Hill,29.7
Windsor,29.1
Kingsville,29.1
Gardenvale,29
Strathmore,27.8
Kensington,27.4
Albert Park,27
St Kilda,26.3
Richmond,26
Dandenong North,25.6
Huntingdale,25.6
Oakleigh East,25.5
Watsonia North,25.4
Watsonia,25.3
Balaclava,25.3
Burnley,25.1
South Kingsville,25
Brunswick West,24.9
Chadstone,24.8
Melbourne,24.6
Pascoe Vale South,24.4
Prahran,24.3
Essendon,24.2
Abbotsford,24.2
Carlton North,24.1
Sydenham,23.9
Waterways,23.7
Williamstown North,23.7
Footscray,23.7
Brunswick,23.5
Ardeer,23.5
Heidelberg Heights,23.3
Seaholme,23.3
Armadale,23.3
Elsternwick,23.2
Elwood,23.2
Mulgrave,23.2
Oakleigh,23.1
Port Melbourne,23
Glen Huntly,23
Strathmore Heights,22.9
Hughesdale,22.8
Chelsea Heights,22.7
Seabrook,22.7
Caulfield South,22.6
Blackburn North,22.6
Moonee Ponds,22.5
Cremorne,22.4
Box Hill North,22.4
East Melbourne,22.3
Brighton,22.2
Thornbury,22.2
Glen Iris,22.2
Kew,22.1
Mont Albert,22.1
Brighton East,22
Parkdale,22
Coburg,21.9
Ringwood East,21.9
Hawthorn East,21.8
Sunshine,21.7
Cairnlea,21.7
Bellfield (Banyule - Vic.),21.6
Deepdene,21.6
Airport West,21.5
Northcote,21.5
Kings Park,21.5
Carnegie,21.4
Ormond,21.4
Brunswick East,21.4
Malvern East,21.4
Wantirna,21.3
Caulfield North,21.3
Murrumbeena,21.3
Patterson Lakes,21.3
Mentone,21.2
Doncaster,21.1
Surrey Hills,21
St Kilda East,21
Kooyong,21
South Yarra,20.9
Balwyn North,20.8
Williamstown,20.8
Hampton,20.8
Bentleigh,20.8
Toorak,20.7
St Albans,20.7
Sunshine West,20.7
Nunawading,20.6
Noble Park,20.6
Sandringham,20.6
Keilor East,20.6
Sunshine North,20.5
Preston,20.5
Highett,20.4
Doncaster East,20.4
Keilor Downs,20.3
Mount Waverley,20.2
Springvale South,20.2
Dandenong,20.2
Malvern,20.2
Beaumaris,20.2
Forest Hill,20.1
Bentleigh East,20.1
Hampton East,20
Blackburn South,20
Mitcham,20
Taylors Lakes,20
Balwyn,19.9
Ashwood,19.9
Ashburton,19.8
West Footscray,19.8
Burwood East,19.8
Rosanna,19.7
Yarraville,19.7
Heidelberg,19.6
Pascoe Vale,19.6
Ascot Vale,19.5
Heidelberg West,19.5
McKinnon,19.5
Oak Park,19.5
Caulfield,19.4
Travancore,19.4
Avondale Heights,19.4
Templestowe Lower,19.4
Moorabbin,19.3
Glen Waverley,19.3
Wheelers Hill,19.2
Fawkner,19.2
Noble Park North,19.2
Box Hill,19.1
Delahey,19.1
Reservoir,19
Newport,19
Briar Hill,18.9
Ringwood,18.9
Niddrie,18.9
Kingsbury,18.8
Heathmont,18.8
Kew East,18.7
Mont Albert North,18.6
Montmorency,18.6
Albanvale,18.5
Ferntree Gully,18.5
Kealba,18.5
Aberfeldie,18.5
Maidstone,18.4
Canterbury,18.4
Camberwell,18.4
Mordialloc,18.3
Braybrook,18.3
Blackburn,18.3
Vermont,18.2
Docklands,18.1
Keilor Park,18.1
roydon South,18
Fairfield,18
Croydon Hills,18
Hawthorn,17.9
Bayswater,17.7
Albion,17.7
Deer Park,17.7
Glenroy,17.6
Vermont South,17.6
Boronia,17.5
Croydon,17.3
Chelsea,17.3
Cheltenham,17.2
Bulleen,17
Ivanhoe,16.8
Carrum,16.8
Ringwood North,16.8
Aspendale,16.8
Edithvale,16.7
Macleod,16.7
Eaglemont,16.6
Aspendale Gardens,16.6
Spotswood,16.5
Burwood,16.5
Ivanhoe East,16.4
Croydon North,16.3
Springvale,16.3
Notting Hill,16.3
Parkville,16.2
Clayton,16.1
Box Hill South,15.6
Coburg North,15.2
Alphington,15
St Helena,14.8
Rowville,14.7
Maribyrnong,14.6
Wantirna South,14.6
Altona Meadows,14.5
Clarinda,14.4
Greensborough,14.4
Caulfield East,14.3
West Melbourne,14.3
Gowanbrae,14.2
Bayswater North,14.2
Hadfield,14
Knoxfield,13.9
Brooklyn,13.8
Oakleigh South,13.8
Donvale,13.8
Warranwood,13.5
Keysborough,13.5
Black Rock,13.3
Essendon West,13.1
Yallambie,13
Altona North,13
Clayton South,12.6
The Basin,12.6
Tullamarine,12.5
Viewbank,12.5
Upper Ferntree Gully,12.3
Keilor,12.3
Derrimut,12.2
Templestowe,12.2
Dingley Village,12.1
Scoresby,11.8
Flemington,11.5
Altona,10.7
Kilsyth South,10.6
Bonbeach,10.4
Park Orchards,9.5
Dandenong South,9.4
Warrandyte,8.8
Bundoora,8.1
Braeside,8.1
Lower Plenty,8
Keilor North,7.7
Essendon Fields,7.7
Heatherton,7.4
Bangholme,7
Tottenham,5.8
Calder Park,5.6
Warrandyte South,5.3
Eltham North,4.8
Wonga Park,4.2
Lysterfield,3.3
Moorabbin Airport,2.2
Kilsyth,1.4
Hillside (Melton - Vic.),1.1
